Designator,Mid X,Mid Y,Rotation,Layer
D1,109.057958,-99.759015,90.0,bottom
D10,166.207958,-99.759015,90.0,bottom
D11,166.207958,-118.809015,90.0,bottom
D12,166.207958,-137.859015,90.0,bottom
D2,128.107958,-99.759015,90.0,bottom
D3,147.157958,-99.759015,90.0,bottom
D4,109.057958,-118.809015,90.0,bottom
D5,128.107958,-118.809015,90.0,bottom
D6,147.157958,-118.809015,90.0,bottom
D7,109.057958,-137.859015,90.0,bottom
D8,128.107958,-137.859015,90.0,bottom
D9,147.157958,-137.859015,90.0,bottom
S1,99.532958,-98.546515,0.0,top
S11,156.673377,-117.580651,0.0,top
S12,156.671439,-136.642275,0.0,top
S2,118.582958,-98.546515,0.0,top
S3,137.632958,-98.546515,0.0,top
S4,99.532958,-117.596515,0.0,top
S5,118.582958,-117.596515,0.0,top
S6,137.632958,-117.596515,0.0,top
S7,99.532958,-136.646515,0.0,top
S8,118.582958,-136.646515,0.0,top
S9,137.632958,-136.646515,0.0,top
SW1,156.732572,-99.915197,270.0,top
U1,98.927997,-79.061124,0.0,top
